Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
3.1629875,80,0x3D,0xAD,Read,ACK
3.1651385,80,0x3D,0xFE,Read,ACK
3.167289,80,0x3D,0xFD,Read,NAK
3.2252015,81,0x3C,0x03,Write,ACK
3.2298765,82,0x3D,0x01,Read,ACK
3.2320275,82,0x3D,0x21,Read,ACK
3.234178,82,0x3D,0x00,Read,ACK
3.2363285,82,0x3D,0xB0,Read,ACK
3.2384795,82,0x3D,0xFE,Read,ACK
3.24063,82,0x3D,0xFD,Read,NAK
3.298544,83,0x3C,0x03,Write,ACK
3.3032195,84,0x3D,0x01,Read,ACK
3.30537,84,0x3D,0x20,Read,ACK
3.307521,84,0x3D,0x00,Read,ACK
3.3096715,84,0x3D,0xAD,Read,ACK
3.3118225,84,0x3D,0xFE,Read,ACK
3.313973,84,0x3D,0xFA,Read,NAK
3.3718865,85,0x3C,0x03,Write,ACK
3.376562,86,0x3D,0x01,Read,ACK
3.3787125,86,0x3D,0x21,Read,ACK
3.3808635,86,0x3D,0x00,Read,ACK
3.383014,86,0x3D,0xA9,Read,ACK
3.385165,86,0x3D,0xFE,Read,ACK
3.387316,86,0x3D,0xFB,Read,NAK
3.445228,87,0x3C,0x03,Write,ACK
3.449664,88,0x3E,0x00,Write,NAK
3.4518145,88,0x3E,0x11,Write,NAK
3.4539655,88,0x3E,0x00,Write,ACK
3.455997,88,0x3E,0x2B,Write,ACK
3.4580275,88,0x3E,0xBF,Write,NAK
3.4601785,88,0x3E,0x3E,Write,ACK
3.5183305,89,0x3E,0x01,Write,NAK
3.523245,90,0x3D,0x01,Read,ACK
3.5253955,90,0x3D,0x23,Read,ACK
3.527546,90,0x3D,0x00,Read,ACK
3.529697,90,0x3D,0xAD,Read,ACK
3.531848,90,0x3D,0xFE,Read,ACK
3.5339985,90,0x3D,0xFD,Read,NAK
3.591911,91,0x3C,0x03,Write,ACK
3.596586,92,0x3D,0x01,Read,ACK
3.598737,92,0x3D,0x22,Read,ACK
3.600888,92,0x3D,0x00,Read,ACK
3.603038,92,0x3D,0xAB,Read,ACK
3.605189,92,0x3D,0xFE,Read,ACK
3.6073395,92,0x3D,0xFD,Read,NAK
3.665252,93,0x3C,0x03,Write,ACK
3.669688,94,0x3D,0x00,Read,NAK
